J1,3173,53,55,294
J2,3114,766,94,139
J3,3108,487,104,149
J4,3115,1590,90,322
J5,3105,1040,105,205
J6,3102,46,69,339
J7,2428,12,337,71
J8,1549,1925,207,42
J9,2785,424,25,50
J10,3073,1350,143,52
J11,3083,1456,138,70
J12,2444,1838,592,81
J13,2456,1634,588,75
J14,2460,1418,582,77
J15,2461,1203,587,79
J16,795,1943,530,27
J17,800,39,531,30
J19,1781,43,68,24
J20,1823,1944,209,28
J21,244,78,117,27
L1,2955,630,24,124
L2,3021,813,84,97
L3,2730,1112,129,31
L4,3032,921,95,93
L5,2728,1146,129,29
P1,532,91,217,29
P2,2086,1544,171,31
P3,2739,797,29,212
P4,2778,838,32,168
P8,1181,1563,135,27
P9,363,1340,186,27
P10,1833,1545,174,30
P11,2623,99,174,40
P13,1516,1580,26,134
P14,3020,1930,96,29
P15,522,1595,30,217
P16,1263,230,164,34
P17,2773,776,218,26
P18,2792,806,170,27
P19,209,1120,221,32
Q1,454,1943,43,42
Q2,390,1952,48,41
Q3,323,1955,48,38
Q4,2812,1036,42,42
Q9,2765,43,85,47
Q10,178,230,60,49
Q11,169,156,49,52
Q12,2740,1040,39,43
U1,1032,429,165,86
U2,1257,142,164,84
U3,436,279,197,85
U4,694,143,216,80
U5,1033,279,168,84
U6,442,143,194,82
U9,1254,281,167,84
U10,64,682,64,159
U11,442,429,194,86
U12,688,282,165,83
U13,1031,144,170,82
U63,690,1180,219,81
U64,188,740,269,143
U65,187,948,437,144
U66,691,1591,167,82
U67,733,873,169,82
U68,553,1598,75,223
U69,687,1727,170,84
U70,734,1024,167,84
U71,1596,1096,165,82
U72,188,1580,273,143
U73,186,1158,441,143
U74,2070,1179,162,84
U75,1836,1158,165,84
U76,2308,1519,82,169
U77,2337,1023,163,83
U78,918,1594,217,81
U79,1278,1455,171,83
U80,1148,1729,220,82
U81,992,1322,190,82
U82,993,1468,188,80
U83,2091,1602,159,81
U84,923,1728,211,85
U85,1596,1717,212,83
U86,1143,1595,222,79
U87,1512,1371,259,147
U88,1565,1602,164,84
U89,1832,1604,166,82
U90,2553,876,177,79
U91,2343,584,219,82
U92,2342,430,212,82
U93,2341,280,164,83
U94,2604,133,163,83
U96,2672,556,157,82
U97,186,1375,440,144
U98,183,1783,310,148
U99,2109,1743,156,75
U100,2309,1777,79,165
U101,2551,1024,174,81
U103,2871,424,90,83
U105,2776,674,171,79
U106,1867,430,151,83
U107,1838,66,423,149
U109,2087,281,164,85
U111,1846,281,163,82
U112,1514,942,169,82
U113,52,1368,70,155
